Código Institución,Nombre Institución,Número Identificación Tributaria - NIT,Principal/Seccional,Naturaleza Jurídica,Sector,Carácter Académico,Cod Departamento,Departamento Domicilio,Cod Municipio,Municipio Domicilio,Dirección Domicilio,Teléfono Domicilio,Norma de Creación,Fecha Norma de Creación,¿Acreditada Alta Calidad?,Fecha Acreditación,Resolución de la acreditación,Vigencia de la acreditación,Estado,Fecha Actualizacion,Página Web
1110,UNIVERSIDAD DEL CAUCA,891.500.319-2,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,19,CAUCA,19001,POPAYAN,"Claustro de Santo Domingo, Calle 5 No. 4-70",8209900,DECRETO 0 Gobierno Nacional,12/31/1969 12:00:00 AM,SI,06/13/2019 12:00:00 AM,6218,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unicauca.edu.co
1111,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,891.480.035-9,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,66,RISARALDA,66001,PEREIRA,Carrera 27 #10-02,3215693,LEY 41 Congreso de la Rep�blica,12/15/1958 12:00:00 AM,SI,05/22/2013 12:00:00 AM,6189,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.utp.edu.co
1112,UNIVERSIDAD DE CALDAS,890.801.063,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,17,CALDAS,17001,MANIZALES,Calle 65  26-10,8861250,ORDENANZA 6 Asamblea Departamental de Caldas,05/24/1943 12:00:00 AM,SI,10/24/2018 12:00:00 AM,17202,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ucaldas.edu.co
1113,UNIVERSIDAD DE CORDOBA,891.080.031-3,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,23,CORDOBA,23001,MONTERIA,Carrera 6 No. 77-305,7860300,LEY 37 Congreso de Colombia,08/03/1966 12:00:00 AM,SI,03/22/2019 12:00:00 AM,2956,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unicordoba.edu.co
1114,UNIVERSIDAD SURCOLOMBIANA,891.180.084-2,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,41,HUILA,41001,NEIVA,Avenida Pastrana Borrero Carrera 1,8754753,LEY 13 Congreso de la Rep�blica,,SI,12/29/2017 12:00:00 AM,29501,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usco.edu.co
1115,UNIVERSIDAD DE LA AMAZONIA,891.190.346-1,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,18,CAQUETA,18001,FLORENCIA,"Avenida Circunvalar, Barrio Porvenir",4352905,LEY 60 Congreso de Colombia,12/30/1982 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uniamazonia.edu.co
1117,UNIVERSIDAD MILITAR-NUEVA GRANADA,800.225.340,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 11 No. 101-80,2159689,DECRETO LEY 84 Congreso de la Republica,01/23/1980 12:00:00 AM,SI,07/16/2015 12:00:00 AM,10683,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.umng.edu.co
1118,UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA,891.680.089-4,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,27,CHOCO,27001,QUIBDO,Ciudadela Universitaria Barrio Nicolas Medrano,6710237,LEY 38 Congreso de Colombia,11/18/1968 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.utch.edu.co
1119,UNIVERSIDAD DE LOS LLANOS,892.000.757-3,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,50,META,50001,VILLAVICENCIO,"Kil�metro 12 V�a Puerto L�pez, Vereda Barcelona",6616800,DECRETO 2513 Gobierno Nacional,03/13/1998 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.rectoria@unillanos.edu.co
1120,UNIVERSIDAD POPULAR DEL CESAR,892.300.285-6,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,20,CESAR,20001,VALLEDUPAR,Sede Balneario Hurtado,5843517,LEY 34 Congreso de Colombia.,11/19/1976 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unicesar.edu.co
1121,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,800.144.829-9,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Clle 28 No. 6-02,2418800,LEY 48 Congreso de Colombia,12/17/1945 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unicolmayor.edu.co
1122,UNIVERSIDAD DEL PACIFICO,835.000.300-4,PRINCIPAL,NACIONAL,OFICIAL,UNIVERSIDAD,76,VALLE DEL CAUCA,76109,BUENAVENTURA,Avenida Sim�n Bolivar  54A-10,2449675,LEY 65 Congreso de la Republica,12/14/1988 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unipacifico.edu.co
1123,UNIVERSIDAD POPULAR DEL CESAR,892.300.285-6,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,20,CESAR,20011,AGUACHICA,Cra. 40  v�a al Mar,5654900,LEY 34 Congreso de Colombia.,11/19/1976 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unicesar.edu.co
1124,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,81,ARAUCA,81001,ARAUCA,Kilometro 9 via Arauca,3165214,LEY 66 Congreso de la Republica,12/31/1969 12:00:00 AM,SI,04/09/2010 12:00:00 AM,2513,10,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.arauca.unal.edu.co
1125,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,91,AMAZONAS,91001,LETICIA,Km. 1 Via Tarapaca,5927254,LEY 66 Congreso de la Republica,12/31/1969 12:00:00 AM,SI,04/09/2010 12:00:00 AM,2513,10,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.imani.unal.edu.co
1126,UNIVERSIDAD NACIONAL DE COLOMBIA,899.999.063-3,SECCIONAL,NACIONAL,OFICIAL,UNIVERSIDAD,88,SAN ANDRES Y PROVIDENCIA,88001,SAN ANDRES,Carretera Circunvalar San Luis,5133310,LEY 66 Congreso de la Republica,12/31/1969 12:00:00 AM,SI,04/09/2010 12:00:00 AM,2513,10,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.caribe.unal.edu.co
1201,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,5,ANTIOQUIA,5001,MEDELLIN,CLLE 67 No. 51 - 08,2128332,LEY 71 Asamblea,03/13/1998 12:00:00 AM,SI,12/14/2012 12:00:00 AM,16516,10,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udea.edu.co
1202,UNIVERSIDAD DEL ATLANTICO,890.102.257-3,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,8,ATLANTICO,8001,BARRANQUILLA,Km. 7 Antigua V�a Puerto Colombia,3197010,ORDENANZA 42 Asamblea Departamental del Atlantico,06/15/1946 12:00:00 AM,SI,04/22/2019 12:00:00 AM,4140,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uniatlantico.edu.co
1203,UNIVERSIDAD DEL VALLE,8903990106,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,76,VALLE DEL CAUCA,76001,CALI,"Ciudad Universitaria Melendez, Calle 13 100-00",3212100,ORDENANZA 12 Asamblea Departamental del Valle,,SI,01/27/2014 12:00:00 AM,1052,10,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.univalle.edu.co
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,890.201.213-4,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,68,SANTANDER,68001,BUCARAMANGA,Ciudad Universitaria Carrera 27 Calle 9,6344000,ORDENANZA 83 Asamblea Departamental de Santander,06/22/1944 12:00:00 AM,SI,04/24/2014 12:00:00 AM,5775,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uis.edu.co
1205,UNIVERSIDAD DE CARTAGENA,890.480.123-5,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,13,BOLIVAR,13001,CARTAGENA,Centro Carrera 6 No. 36-100,6600676,DECRETO 0 el Libertador Sim�n Bolivar,12/31/1969 12:00:00 AM,SI,02/12/2018 12:00:00 AM,1968,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unicartagena.edu.co
1206,UNIVERSIDAD DE NARI�O,800.118.954,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,52,NARINIO,52001,PASTO,"Torobajo, Carrera 22 No. 18-109",7313604,DECRETO 49 Gobernaci�n de Nari�o,11/07/1904 12:00:00 AM,SI,05/23/2017 12:00:00 AM,10567,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udenar.edu.co
1207,UNIVERSIDAD DEL TOLIMA,890.700.640,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,73,TOLIMA,73001,IBAGUE,Barrio Santa Elena,2644219,ORDENANZA 5 Asamblea Departamental del Tolima,05/21/1945 12:00:00 AM,SI,07/17/2020 12:00:00 AM,13189,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ut.edu.co
1208,UNIVERSIDAD DEL QUINDIO,890.000.432-8,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,63,QUINDIO,63001,ARMENIA,Carrera 15 Calle 12 Norte,7460103,ACUERDO 23 Concejo Municipal de Armenia.,10/14/1960 12:00:00 AM,SI,03/07/2018 12:00:00 AM,3902,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uniquindio.edu.co
1209,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,890.500.622,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,54,NORTE DE SANTANDER,54001,CUCUTA,Avenida Gran Colombia No. 12E-96,5753172,DECRETO 323 Gobernacion Departamental de Santander,05/13/1970 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ufps.edu.co
1210,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,800163130-0,SECCIONAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,54,NORTE DE SANTANDER,54498,OCA?A,Via El Algodonal,5692199,DECRETO 323 GOBIERNO DEPARTAMENTAL,,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ufpso.edu.co
1212,UNIVERSIDAD DE PAMPLONA,890.501.510-4,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,54,NORTE DE SANTANDER,54518,PAMPLONA,"Ciudad Universitaria, Km.1 v�a a Bucaramanga",6853003,ACTA 1 Gobernaci�n del Norte de Santander,11/23/1960 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unipamplona.edu.co
1213,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,891.780.111-8,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,47,MAGDALENA,47001,SANTA MARTA,Carrera 32 22-08 Sector San Pedro Alejandrino,4301292,ORDENANZA 5 Asamblea Departamental del Magdalena,10/27/1958 12:00:00 AM,SI,08/22/2016 12:00:00 AM,16891,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unimag.edu.co
1214,UNIVERSIDAD DE CUNDINAMARCA-UDEC,890.680.062,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,25,CUNDINAMARCA,25290,FUSAGASUGA,Diagonal 18  No. 20-29,8281483,ORDENANZA 45 Asamblea Departamental de Cundinamarca,12/19/1969 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unicundi.edu.co
1215,UNIVERSIDAD DE CUNDINAMARCA-UDEC,890.680.062,SECCIONAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,25,CUNDINAMARCA,25307,GIRARDOT,Calle 19 24-209,8335071,ORDENANZA 45 Asamblea Departamental de Cundinamarca.,12/19/1969 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unicundi.edu.co
1216,UNIVERSIDAD DE CUNDINAMARCA-UDEC,890.680.062,SECCIONAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,25,CUNDINAMARCA,25843,UBATE,Calle 16 No. 9-80,8553055,ORDENANZA 45 Asamblea Departamental de Cundinamarca.,12/19/1969 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unicundi.edu.co
1217,UNIVERSIDAD DE SUCRE,892.200.323-9,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,70,SUCRE,70001,SINCELEJO,Carrera 28 No. 5 - 267,2821240,ORDENANZA 1 Asamblea Departamental de Sucre,11/24/1977 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unisucre.edu.co
1218,UNIVERSIDAD DE LA GUAJIRA,892.115.029-4,PRINCIPAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,44,GUAJIRA,44001,RIOHACHA,Kil�metro 5 v�a a Maicao,7822729,DECRETO 523 Gobierno Departamental de la Guajira,11/12/1976 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uniguajira.edu.co
1219,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,SECCIONAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,"Km 6 V�a Rionegro, La Ceja, El Tambo Jurisdicci�n El Carmen de Viboral",5311177,NO INFORMA SIN DATO SIN DATO,03/09/2001 12:00:00 AM,N0,,2087,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udea.edu.co
1220,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,SECCIONAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,5,ANTIOQUIA,5034,ANDES,Km. 4 Salida Medell�n Vereda Campamento,8418052,NO INFORMA SIN DATO SIN DATO,03/09/2001 12:00:00 AM,N0,,2087,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udea.edu.co
1221,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,SECCIONAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,5,ANTIOQUIA,5154,CAUCASIA,Liceo Municipal Caucasi Carretera.TR Av. Pajonal,8395350,NO INFORMA SIN DATO SIN DATO,03/09/2001 12:00:00 AM,N0,,2087,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udea.edu.co
1222,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,SECCIONAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,5,ANTIOQUIA,5579,PUERTO BERRIO,Salida  Medell�n Barrio Cacique,8333522,NO INFORMA SIN DATO SIN DATO,03/09/2001 12:00:00 AM,N0,,2087,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udea.edu.co
1223,UNIVERSIDAD DE ANTIOQUIA,890.980.040-8,SECCIONAL,DEPARTAMENTAL,OFICIAL,UNIVERSIDAD,5,ANTIOQUIA,5837,TURBO,Calle 104 entre Carreras 18 A - 19 B.Jes�s,8272588,NO INFORMA SIN DATO SIN DATO,03/09/2001 12:00:00 AM,N0,,2087,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udea.edu.co
1301,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,899.999.230-7,PRINCIPAL,MUNICIPAL,OFICIAL,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 7 No. 40-53,3239300,RESOLUCION 135 Ministerio de Justicia,02/05/1948 12:00:00 AM,SI,12/15/2016 12:00:00 AM,23096,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.udistrital.edu.co
1701,PONTIFICIA UNIVERSIDAD JAVERIANA,860.013.720-1,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 7  40-62,3208130,NO INFORMA 73 Ministerio de Gobierno,,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.javeriana.edu.co
1702,PONTIFICIA UNIVERSIDAD JAVERIANA,No Informa,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,76,VALLE DEL CAUCA,76001,CALI,Clle 18 No. 118-250 Av Ca�asgordas,3218200,RESOLUCION 73 MINISTERIO DE GOBIERNO,12/12/1933 12:00:00 AM,SI,03/06/2012 12:00:00 AM,2333,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.puj.edu.co
1703,UNIVERSIDAD INCCA DE COLOMBIA,860.011.285-1,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 13 No. 24-15,4442000,RESOLUCION 1891 MINISTERIO DE JUSTICIA.,06/19/1963 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unincca.edu.co
1704,UNIVERSIDAD SANTO TOMAS,860.012.357-6,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,"Sede Ppal Carrera 9  51-11, Sede Norte Cra.10 72-50",5878797,RESOLUCION 3645 MINISTERIO DE JUSTICIA,08/06/1965 12:00:00 AM,SI,01/29/2016 12:00:00 AM,1456,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.usta.edu.co
1705,UNIVERSIDAD SANTO TOMAS,860.012.357-6,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,68,SANTANDER,68001,BUCARAMANGA,Carrera 18 No. 9-27,6716482,RESOLUCION 3645 MINISTERIO DE JUSTICIA,08/06/1965 12:00:00 AM,SI,01/29/2016 12:00:00 AM,1456,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ustabuca.edu.co
1706,UNIVERSIDAD EXTERNADO DE COLOMBIA,860.014.918-7,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Calle 12 No. 1-17 Este,3420288,RESOLUCION 92 MINISTERIO DE GOBIERNO,03/09/1926 12:00:00 AM,SI,08/22/2012 12:00:00 AM,9902,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uexternado.edu.co
1707,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,860.006.848-6,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 4  22-61,3341777,NO INFORMA 2613 Ministerio de Justicia,,SI,03/21/2018 12:00:00 AM,4624,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.utadeo.edu.co
1708,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,860.006.848-6,SECCIONAL,FUNDACION,PRIVADA,UNIVERSIDAD,13,BOLIVAR,13001,CARTAGENA,Zona Norte Anillo Vial kil�metro 13,6600578,RESOLUCION 2613 MINISTERIO DE JUSTICIA.,,SI,03/21/2018 12:00:00 AM,4624,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.utadeo.edu.co
1709,UNIVERSIDAD CENTRAL,860.024.746-1,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Carrera 5  21-38,3239868,NO INFORMA 1876 Ministerio de Justicia,,SI,01/16/2019 12:00:00 AM,256,4,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.ucentral.edu.co
1710,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,5,ANTIOQUIA,5001,MEDELLIN,Campus de Laureles Circular 1a. No. 70-01,4488388,NO INFORMA 48 Ministerio de Gobierno,,SI,10/24/2018 12:00:00 AM,17228,6,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.upb.edu.co
1711,UNIVERSIDAD DE LA SABANA,860.075.558-1,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,25,CUNDINAMARCA,25175,CHIA,Campus  Universitario Puente del Com�n,8615555,RESOLUCION 130 MINISTERIO DE EDUCACION NACIONAL,,SI,03/31/2017 12:00:00 AM,6166,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.unisabana.edu.co
1712,UNIVERSIDAD EAFIT-,890.901.389,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,5,ANTIOQUIA,5001,MEDELLIN,Carrera 49  No.7 SUR - 50,2619500,NO INFORMA 75 Gobernacion Departamental de Antioquia,06/28/1960 12:00:00 AM,SI,02/13/2018 12:00:00 AM,2158,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.eafit.edu.co
1713,UNIVERSIDAD DEL NORTE,890.101.681,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,8,ATLANTICO,8001,BARRANQUILLA,Kilometro 5 Via  Pto. Colombia,3509388,NO INFORMA 149 Gobernaci�n Departamento del Atl�ntico,,SI,05/31/2018 12:00:00 AM,8870,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uninorte.edu.co
1714,COLEGIO MAYOR DE NUESTRA SE�ORA DEL ROSARIO,860.007.759,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Calle 14  6-25,2431716,RESOLUCION 58 MINISTERIO DE GOBIERNO.,12/31/1969 12:00:00 AM,SI,12/09/2019 12:00:00 AM,13599,8,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.urosario.edu.co
1715,FUNDACION UNIVERSIDAD DE AMERICA,860.006.806-7,PRINCIPAL,FUNDACION,PRIVADA,UNIVERSIDAD,11,BOGOTA D.C,11001,BOGOTA D.C.,Av. Circunvalar 20-53,3376680,RESOLUCION 417 MINISTERIO DE JUSTICIA.,02/13/1958 12:00:00 AM,N0,,,,Activa en la Fecha de Actualizacion,08/31/2020 12:00:00 AM,www.uamerica.edu.co
